 ,Area,Mean,Min,Max,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret,Length
1,0.531,84.865,41.637,164.000,51.103,20.993,252,679,51.103,0.000,20.993
2,0.044,85.485,71.500,108.640,52.125,1.728,254,676,52.125,0.000,1.728
3,0.107,80.422,17.886,144.462,51.554,4.224,249,678,51.554,0.000,4.224
4,0.203,83.774,15.225,186.953,51.397,8.014,252,676,51.397,0.000,8.014
5,0.284,78.857,15.557,183.936,51.200,11.244,250,677,51.200,8.882E-16,11.244
6,0.413,85.576,58.080,132.643,51.216,16.327,250,681,51.216,0.000,16.327
7,0.432,85.126,15.955,149.386,50.824,17.069,251,677,50.824,1.776E-15,17.069
