"Ti","V","Cr","Nb","Hf"
5.244,13.242,14.566,15.798,51.149
4.274,6.265,15.044,18.411,56.006
4.676,7.905,13.582,13.515,60.322
5.185,8.210,15.068,12.823,58.713
6.888,6.064,24.964,17.099,44.985
4.686,13.112,18.556,17.146,46.499
4.568,5.493,10.244,11.461,68.235
4.323,8.235,15.020,8.554,63.868
3.600,9.681,14.937,11.097,60.684
5.042,9.568,12.955,6.519,65.917
5.447,8.952,15.718,14.550,55.333
5.286,8.611,12.591,17.587,55.925
5.208,8.558,17.025,14.304,54.905
4.835,10.727,13.905,10.524,60.008
4.048,11.307,11.297,13.499,59.849
4.730,6.708,16.192,9.749,62.622
4.528,7.956,19.168,15.297,53.050
8.126,8.873,15.170,11.195,56.636
5.338,9.473,12.783,17.165,55.242
6.573,8.247,17.090,12.654,55.435
5.858,8.273,13.019,12.303,60.547
5.113,11.062,12.860,18.721,52.245
8.086,7.769,15.162,14.207,54.775
4.699,9.707,14.936,14.715,55.942
4.632,7.618,12.287,14.491,60.972
5.210,5.589,13.409,8.104,67.687
5.706,10.695,14.591,15.532,53.476
4.861,5.604,13.498,19.554,56.483
4.281,8.849,13.123,5.949,67.799
6.370,6.111,12.721,12.309,62.487
6.574,9.876,13.267,15.100,55.183
5.668,8.268,13.126,9.495,63.443
10.896,11.071,13.587,14.802,49.643
8.276,9.206,13.938,16.096,52.485
7.110,7.857,14.079,9.169,61.784
7.443,7.310,9.444,21.936,53.867
11.873,8.577,12.662,24.226,42.663
15.665,7.618,10.426,19.261,47.030
9.695,7.218,7.476,23.693,51.918
11.327,7.606,8.444,17.773,54.850
11.136,7.347,12.106,24.644,44.767
12.538,8.906,8.983,27.076,42.498
11.704,12.438,9.052,13.825,52.982
8.490,11.325,8.463,27.107,44.615
8.307,8.700,6.398,19.238,57.357
8.962,9.923,11.592,21.548,47.974
8.105,7.227,9.233,23.853,51.582
8.167,7.761,11.543,17.119,55.409
5.742,6.381,10.184,20.021,57.672
6.363,8.976,14.366,11.566,58.729
4.312,6.435,13.393,20.554,55.306
7.686,11.192,12.341,14.972,53.809
5.397,9.440,13.582,17.208,54.373
6.092,8.705,13.215,13.880,58.108
5.241,7.112,12.263,10.387,64.997
4.273,8.845,14.054,14.472,58.356
7.942,9.462,13.000,16.174,53.422
4.778,8.627,15.128,11.914,59.554
4.646,8.844,14.107,16.151,56.252
4.845,12.897,12.551,17.380,52.327
4.099,6.744,12.387,14.208,62.562
5.483,8.340,19.447,16.652,50.078
6.593,8.921,15.990,13.307,55.190
4.747,7.507,15.909,13.236,58.602
5.467,9.124,12.842,14.673,57.894
4.110,8.966,8.831,11.588,66.504
6.009,13.316,18.152,12.108,50.415
4.867,11.486,17.856,19.438,46.353
6.063,9.058,14.306,18.802,51.771
5.719,8.644,13.000,16.121,56.516
4.181,9.591,14.838,18.008,53.382
4.682,10.305,12.765,14.544,57.703
5.380,4.566,12.894,16.169,60.992
6.264,7.708,15.875,16.592,53.562
5.861,8.283,14.748,14.540,56.567
5.658,8.487,13.857,18.155,53.844
4.336,7.374,14.435,13.160,60.695
4.645,6.866,12.316,11.366,64.808
4.937,9.810,15.316,8.791,61.147
6.662,8.152,16.343,16.825,52.019
5.638,8.368,13.891,12.007,60.096
5.501,7.110,12.690,14.479,60.221
6.544,9.762,15.704,15.512,52.478
